Month,Week since beginning,X,Y,Z,argos:altitude,argos:calcul-freq,argos:lat2,argos:lon2,argos:pass-duration,argos:sensor-1,argos:sensor-2,argos:sensor-3,individual-local-identifier,ECMWF Interim Full Daily SFC-FC Evaporation,ECMWF Interim Full Daily SFC Temperature (2 m above Ground),ECMWF Interim Full Daily SFC-FC Sunshine Duration,NCEP NARR SFC Visibility at Surface,ECMWF Interim Full Daily SFC Charnock Parameter,ECMWF Interim Full Daily PL V Velocity,ECMWF Interim Full Daily PL U Velocity,ECMWF Interim Full Daily SFC Total Cloud Cover,ECMWF Interim Full Daily SFC Surface Air Pressure,ECMWF Interim Full Daily SFC Total Atmospheric Water,ECMWF Interim Full Daily SFC Snow Temperature,NASA Distance to Coast (Signed),ECMWF Interim Full Daily SFC-FC Runoff,ECMWF Interim Full Daily SFC Ice Temperature at 0-7 cm,ECMWF Interim Full Daily SFC Soil Temperature at 1-7 cm,NCEP NARR SFC Snow Cover at Surface,ECMWF Interim Full Daily SFC Volumetric Soil Water Content at 1-7 cm
10.0,17.0,-0.43065122937205957,-0.048580922904412585,0.90120917661197131,0.0,401.65341583571433,68.332642857142858,37.084499999999998,338.64285714285717,166.14285714285714,180.42857142857142,102.07142857142857,30,-0.00010288571428571429,270.73059561428573,1236.3605206285717,4165.0088212857136,0.015795812428571428,-1.6423246025714291,0.1624969692857143,0.82587185414285713,98562.913958571415,6.4650857245000006,271.2425981071429,0.81421296878571414,0.00025692857142857136,271.45991855,272.20599265714287,0.076016676642857148,0.19348023157142857
11.0,18.0,-0.4293359547327224,-0.047823917475930469,0.90187776937398623,0.0,401.65335629999998,56.395000000000003,142.93899999999999,59.0,191.0,223.0,147.0,30,-0.00025099999999999998,261.17166689999999,934.8016993,10637.029210000001,0.021885842999999999,-9.8609220559999997,-4.9464498499999996,0.76275627999999995,99363.770480000007,3.5934369820000001,264.8592554,-6.0385462050000003,0.00015899999999999999,271.46013160000001,270.55788280000002,0.26054269400000002,0.213572177
11.0,19.0,-0.43042298711298382,-0.047345378849478141,0.90138453636722138,0.0,401.6533774666666,65.576999999999984,30.040500000000009,291.5,158.16666666666666,183.41666666666666,134.33333333333334,30,9.5666666666666605e-07,273.2338307833333,0.0,4493.6099665000002,0.018816969166666666,1.8319943939166665,-9.2361723692499993,0.98824792383333326,98392.201598333326,8.833346534416668,273.07263212499998,1.1341656579999999,0.00015808333333333332,271.45973934999995,273.26061478333338,0.038847041333333332,0.20201334716666666
11.0,20.0,-0.43009034104840749,-0.047191189712448234,0.90155127377890532,0.0,401.6533877375,66.177875,48.3675,233.0,191.0,219.5,94.75,30,-2.3171250000000003e-05,273.35590508749999,0.0,5665.6206975000005,0.022767703625,-3.0748569191249997,-11.049574439499999,0.99516592412499993,98085.603787500004,11.237029141500001,272.49559800000003,-0.45745272949999993,0.00018987499999999999,271.45999690000002,272.20864313750002,0.063574736999999992,0.216264710625
11.0,21.0,-0.43025589304753581,-0.047545052646381127,0.90145377174347463,0.0,401.65339889999996,67.68516666666666,74.864666666666665,260.16666666666669,166.5,157.5,86.333333333333329,30,-0.00062583333333333338,264.82826961666666,0.0,11369.001967666665,0.020983033833333331,-11.521844889333332,-6.7611174323333332,0.88939037333333326,98443.754811666673,4.0200854019999994,268.39174583333335,-0.29084469699999999,0.00026449999999999998,271.45975088333336,273.59872870000004,0.064746257333333335,0.20466262516666667
11.4,22.0,-0.4303655214570471,-0.047604828043548084,0.90139842323676667,0.0,401.65342153,69.889500000000012,121.70570000000001,261.0,173.09999999999999,198.09999999999999,135.0,30,-0.00045139999999999997,253.94778886,0.0,3955.0411664920002,0.020798423299999997,-6.6754452864000005,-6.6854019668999998,0.61029402709999991,100592.24043100001,2.1647174094000001,258.74956795000003,-0.059849303800000045,0.0002265,270.71594906000001,265.95292734999998,0.048278129999999995,0.19795638779999999
12.0,23.0,-0.43086991972147071,-0.047052096372357535,0.90118536981859898,0.0,401.65339872222216,62.922333333333341,48.161999999999999,214.33333333333334,140.0,172.22222222222223,118.66666666666667,30,-0.000195,268.77824718888888,0.0,11010.27588588889,0.020884260444444445,-4.9183528692222218,-10.412689186444446,0.98527427144444446,99365.431049999999,7.7866996144444443,269.70609967777779,4.9937518433333326,0.00013466666666666667,271.39171479999999,271.6025007888889,0.030242557444444443,0.19455139555555556
12.0,24.0,-0.42850039226609082,-0.055094773969443622,0.9018600316564972,0.0,401.65336606666671,66.168833333333325,-4.0839999999999934,335.66666666666669,133.5,155.16666666666666,77.833333333333329,30,-0.00031083333333333332,272.93753266666664,0.0,3914.6547845,0.022537066666666664,0.4230961709999998,-12.800381913000001,0.718925912,98623.105945000003,8.7645147626666677,272.12246389999996,-0.9333520068333333,0.00024733333333333335,271.45957606666667,273.42655926666663,0.4730681903333333,0.23158786449999999
12.0,25.0,-0.42873470545429387,-0.056071201535525847,0.90168766424346924,0.0,401.65332634000004,61.203600000000009,40.152200000000001,316.80000000000001,123.0,133.80000000000001,89.599999999999994,30,-8.5000000000000067e-06,272.24729207999997,0.0,560.75279549999993,0.020803462599999999,-2.5077589182,-10.2369269162,0.98726359200000002,98742.428593999997,10.0810402578,271.51040488000001,1.7419044117999998,0.00025020000000000001,271.66704188,272.06091441999996,0.28050097819999997,0.20375496580000002
12.0,26.0,-0.42910040471192612,-0.055631460259934609,0.90154196093801686,0.0,401.65338912499999,58.036499999999997,-23.839124999999999,295.25,189.25,221.5,130.375,30,-0.000346375,261.78112175000001,0.0,12720.7007731825,0.022427190374999999,-13.635428065875001,-3.5599686151250003,0.94526121900000004,98613.51404124999,4.5713411653750002,265.61657395000003,1.4820021650000001,0.00016750000000000001,268.85535855000001,272.33676585000001,0.30608802174999999,0.20353811562500002
